day,hours,v1,v2,v3,v4,v5,v6
1,1,4,20,16,2,1,3
1,2,5,6,12,90,13,2
1,3,4,12.88721977,10.99255178,11.82908965,11.12446598,15.36661098
1,4,32,12.0810617,17.88402529,13.96080739,12.25224657,13.15328703
1,5,12,18.72879019,10.50324504,13.13422082,17.3931369,17.20355237
1,6,4,16.38571538,11.60808178,10.56849814,11.46005216,12.56863365
2,1,23,10.33062866,15.40279689,17.98209473,11.54129974,19.72293105
2,2,11,15.12689167,14.6220631,13.38789747,15.68112413,18.52272368
2,3,2,10.40562794,11.65349946,13.06827806,14.03099469,14.07790858
2,4,10,12.33361031,14.66472053,11.94326536,19.47908759,11.98866986
2,5,12,13.70567968,14.45417709,12.60149834,14.79773867,10.30248345
2,6,22,14.35024719,18.8419078,16.83375619,12.76321012,12.13508589
3,1,32,18.05539062,12.26343498,12.03036163,18.90677523,17.53270233
3,2,14,18.79179915,10.14268023,19.51102764,10.95994189,10.76213519
3,3,18,11.53629663,10.3958438,13.17822577,18.38032965,18.08995344
3,4,19,19.12000459,19.41027092,18.96929257,13.91196031,16.4743802
3,5,20,15.52140848,18.75879232,15.1529468,12.89650363,16.50824297
3,6,23,12.77038205,16.3938051,11.6588989,13.26671306,18.5190845
4,1,10,14.61287435,19.34468474,16.25574559,12.35179995,15.69924207
4,2,2,13.41132533,12.16959871,18.1542711,13.06569476,11.34387181
4,3,6,12.83137893,18.03791249,10.79011797,11.72930416,12.616427
4,4,8,19.87590424,10.72829196,16.5539392,13.35333989,11.78463206
4,5,5,14.94062933,10.30342327,10.79025352,12.8524202,15.69764265
4,6,4.315175769,19.08794026,16.07336837,15.43432522,11.42319645,19.92583251
5,1,4.089927871,19.3688169,12.29902439,12.4603293,14.18248551,14.5532923
5,2,5.18305404,15.06281802,16.26490449,17.52725128,15.15857043,16.57316366
5,3,5.03100334,16.08017876,10.03817185,16.5304375,19.01557041,13.26290306
5,4,9.39021299,11.48945789,17.38372152,15.43386788,18.5051268,12.6601771
5,5,1.253196131,18.70028599,15.57871781,12.42105139,18.69469965,16.77127762
5,6,0.747362608,16.16523867,11.79553882,11.85891257,19.35734991,13.83788071
6,1,9.663090301,17.22539143,10.44573601,18.47107517,13.19774821,11.48633042
6,2,6.239639171,18.09208635,18.30092131,10.61338357,13.56725228,10.10076088
6,3,9.540947116,14.97244362,19.58287725,11.20222142,12.94613535,12.64548382
6,4,0.165800595,18.15670746,17.11261514,12.95291998,13.90419171,17.75837834
6,5,6.41066636,14.03543693,17.97924779,18.53024587,12.22296552,13.49481232
6,6,1.180299618,11.34252713,19.41618316,18.74723116,17.91394116,13.60265808
7,1,7.094284031,10.33610519,14.35056997,17.0991698,10.94574524,13.89916138
7,2,2.858288076,18.36793315,11.13454574,13.3900194,13.15657919,19.85331414
7,3,8.320734884,12.64086739,16.07487156,17.75240427,13.82963176,15.88313232
7,4,0.687823508,19.19681954,10.91388764,11.10882925,15.60980134,11.29895448
7,5,2.103834994,12.44172535,17.68179659,18.99671292,14.91820969,12.18747997
7,6,1.550980757,19.69027874,11.42491721,13.80896108,15.15720009,17.20158227
